x y w h frame_number
680 478 73 34 343
680 478 73 34 344
674 476 85 39 345
678 480 73 34 346
679 482 73 34 347
679 482 73 34 348
680 486 70 32 349
684 487 63 29 350
684 486 70 32 351
681 485 77 35 352
683 486 73 34 353
683 486 77 35 354
681 484 85 39 355
684 484 81 37 356
686 482 81 37 357
687 482 77 35 358
686 482 81 37 359
689 483 77 35 360
689 482 77 35 361
683 479 89 41 362
687 479 81 37 363
693 482 70 32 364
690 481 77 35 365
686 478 85 39 366
691 480 77 35 367
694 481 70 32 368
696 481 66 31 369
693 480 73 34 370
694 482 73 34 371
696 482 70 32 372
695 481 77 35 373
693 480 81 37 374
698 482 73 34 375
696 483 77 35 376
696 483 77 35 377
698 484 73 34 378
694 483 81 37 379
696 483 77 35 380
698 483 77 35 381
698 483 77 35 382
698 484 73 34 383
696 481 81 37 384
697 480 81 37 385
695 480 85 39 386
696 481 85 39 387
698 481 85 39 388
699 481 81 37 389
702 481 81 37 390
703 479 85 39 391
705 479 85 39 392
707 478 85 39 393
706 477 89 41 394
710 476 89 41 395
715 477 85 39 396
717 479 85 39 397
719 481 81 37 398
720 478 89 41 399
724 480 81 37 400
724 478 85 39 401
728 477 85 39 402
728 475 89 41 403
732 475 89 41 404
736 475 89 41 405
737 473 93 43 406
741 473 98 45 407
744 472 98 45 408
750 470 98 45 409
759 472 89 41 410
764 473 89 41 411
772 474 85 39 412
776 472 93 43 413
782 472 93 43 414
787 472 93 43 415
793 473 93 43 416
806 476 81 37 417
812 478 77 35 418
819 477 77 35 419
826 479 73 34 420
833 480 73 34 421
842 480 70 32 422
848 481 66 31 423
853 484 66 31 424
858 488 66 31 425
866 489 66 31 426
870 490 70 32 427
876 491 73 34 428
883 491 73 34 429
